,Abbreviation ,Meaning / Intended Meaning ,Notes About Confusion ,Category
0,1/2NS ,one-half normal saline (0.45%) ,  ,drug or class name
1,5-ASA ,5-aminosalicylic acid ,Better to spell out drug name; can be misinterpreted as five tablets of aspirin per FDA ,drug or class name
2,a ,before ,  ,time
3,A.M. ,morning ,  ,time
4,aa ,of each ,  ,measurement
5,AAA ,"abdominal aortic aneurysm (called a ""triple-A"") ",Can be misinterpreted as 'apply to affected area' ,medical condition
6,AAA ,apply to affected area ,Can be misinterpreted as 'abdominal aortic aneurysm' ,route of administration
7,ac ,before meals ,  ,time
8,achs ,before meals and at bedtime ,  ,time
9,AD ,right ear ,  ,route of administration
10,ad lib ,freely; as much as desired ,  ,time
11,ad sat. ,to saturation ,  ,other
12,ad. ,to; up to ,Caution not to confuse with AD (meaning right ear) ,measurement
13,ALT ,alanine aminotransferase ,  ,lab
14,alt. ,alternate ,  ,time
15,alt. h. ,every other hour ,  ,time
16,"am, A.M. ",in the morning; before noon ,  ,time
17,amp ,ampule ,  ,dosage form
18,amt. ,amount ,  ,measurement
19,ant. ,anterior ,  ,other
20,ante ,before ,  ,time
21,ap ,before dinner ,  ,time
22,APAP ,acetaminophen ,"Better to spell out drug name ""acetaminophen"" ",drug or class name
23,aPTT ,activated partial thromboplastin ,  ,lab
24,"AQ, aq ",water ,  ,other
25,"a.s., AS ",left ear ,  ,route of administration
26,ASA ,aspirin ,"Better to spell out drug name ""aspirin"" ",drug or class name
27,AST ,aspartate aminotransferase ,  ,lab
28,ATC ,around the clock ,  ,time
29,AU ,each ear; both ears ,  ,route of administration
30,AZT ,zidovudine ,Better to spell drug name out; can be misinterpreted as azathioprine per FDA ,drug or class name
31,Ba ,barium ,  ,drug or class name
32,BCP ,birth control pills ,  ,drug or class name
33,Bi ,bismuth ,  ,drug or class name
34,"bid, BID ",twice a day ,  ,time
35,BM ,bowel movement ,  ,other
36,BMI ,body mass index ,  ,vitals
37,bol ,bolus ,  ,measurement
38,BP ,blood pressure ,  ,vitals
39,BPH ,benign prostatic hypertrophy ,  ,medical condition
40,BS ,blood sugar ,  ,lab
41,BSA ,body surface area ,  ,vitals
42,BT ,bedtime ,"In U.S., 'hs' or 'HS' is more commonly used for bedtime ",time
43,c ,with ,  ,other
44,C.C. ,chief complaint ,  ,other
45,c/o ,complaints of ,  ,other
46,C&S ,culture and sensitivity ,  ,lab
47,CABG ,coronary artery bypass graft ,  ,other
48,CaCO3 ,calcium carbonate ,  ,drug or class name
49,CAD ,coronary artery disease ,  ,medical condition
50,CAP ,cancer of the prostate ,"Do not confuse with ""capsule"" ",medical condition
51,cap. ,capsule ,"Do not confuse with ""cancer of the prostate"" ",dosage form
52,CBC ,complete blood count ,  ,lab
53,cc ,cubic centimeter ,"Can also mean ""with food"" ",measurement
54,CD ,controlled delivery ,  ,drug release technology
55,CF ,cystic fibrosis ,  ,medical condition
56,cm ,centimeter ,  ,measurement
57,CNS ,central nervous system ,  ,other
58,conc ,concentrated ,  ,other
59,CPZ ,Compazine ,Better to spell drug name out; can be misinterpreted as chlorpromazine per FDA ,drug or class name
60,CR ,controlled-release ,  ,drug release technology
61,"cr, crm ",cream ,  ,dosage form
